,TCGA-GM-A2DK,TCGA-S3-A6ZG,TCGA-E2-A1LK,TCGA-AO-A12G,TCGA-D8-A1JP,TCGA-D8-A73X,TCGA-A7-A6VX,TCGA-WT-AB44,TCGA-E2-A159,TCGA-D8-A1XB,TCGA-A2-A0D0,TCGA-E9-A1NI,TCGA-A2-A0T2,TCGA-E2-A14R,TCGA-D8-A27N,TCGA-EW-A1PH,TCGA-A2-A1G6,TCGA-BH-A0GZ,TCGA-AR-A2LR,TCGA-E9-A5UP,TCGA-A2-A0SW,TCGA-E2-A14P,TCGA-B6-A0X1,TCGA-E2-A1IF,TCGA-AR-A24S,TCGA-A8-A09E,TCGA-E2-A1L7,TCGA-E2-A1IL,TCGA-C8-A275,TCGA-E2-A14O,TCGA-C8-A8HQ,TCGA-A8-A083,TCGA-B6-A0WV,TCGA-BH-A0BA,TCGA-AR-A5QN,TCGA-BH-A18K,TCGA-BH-A0B2,TCGA-A2-A1FW,TCGA-AR-A24T,TCGA-BH-A0DQ,TCGA-A8-A07B,TCGA-AO-A03T,TCGA-AR-A24X,TCGA-D8-A1J9,TCGA-BH-A42U,TCGA-A8-A085,TCGA-AR-A0TP,TCGA-A2-A0YM,TCGA-A2-A0YH,TCGA-MS-A51U,TCGA-AQ-A0Y5,TCGA-AO-A125,TCGA-B6-A0I9,TCGA-AO-A1KQ,TCGA-D8-A1JH,TCGA-BH-A0EB,TCGA-E2-A1LA,TCGA-EW-A1OZ,TCGA-A8-A09W,TCGA-A8-A084,TCGA-LL-A5YN,TCGA-A7-A4SD,TCGA-B6-A0I5,TCGA-BH-A42V,TCGA-B6-A400,TCGA-B6-A0RU,TCGA-E9-A245,TCGA-D8-A1JG,TCGA-OL-A5D8,TCGA-BH-A6R8,TCGA-D8-A27I,TCGA-AO-A0J7,TCGA-AR-A1AK,TCGA-BH-A0AZ,TCGA-D8-A1JA,TCGA-E2-A107
KRT5,6.9095762377378325,4.377159365642192,9.570116368031965,5.875179839817156,5.730213388186551,6.187276681592952,3.418403713607387,5.37835161888084,9.927986788889775,7.270872128796432,9.035436512702251,0.5941882176118805,7.184216235939499,1.4112963153421152,4.443912696067307,9.13921960895913,9.767644023740669,8.452759849499657,9.024513657896726,0.1854725047026322,1.3745064541499492,6.608331811720259,10.855465349767435,7.2175017936274015,4.197427411850349,3.5312093783156437,4.954442489493725,6.292739063747024,3.7133669889452094,0.4966171648404758,5.376958672381492,0.5795072998465159,5.704443185754778,7.708909181169582,7.075959146113547,5.574692993601407,6.591551335127061,5.721780222611032,6.696727077076389,5.202263900947277,1.476266227156621,7.777126757095956,5.452378949043092,3.449510720487217,10.910296170374362,0.3408505925744745,3.867826316146486,9.629406776171296,3.470814252710591,8.077772438694208,3.0973928581987544,0.2324336754369349,6.113794637851241,0.1856777468189639,6.895607679800972,6.156833448621727,6.11030973148997,2.495185478725673,0.0662451560693088,4.615072683805621,6.3281523898292455,11.499180349859694,6.958871755456857,8.462581309212332,10.84434488395784,8.455663861264494,5.110420672225206,6.143130652449525,3.6725861062379512,1.275719072572642,7.620129915871335,4.913891708526786,8.422382492849312,6.973641341260351,0.5185389990980316,6.50404854947403
KRT19,12.708031025124566,11.97542918955205,4.3792533468915975,11.02553169268514,10.528159581317196,12.21066889401621,10.620185679557895,11.690018314352365,10.898436200556024,7.085274637801909,10.041046206860951,12.399564856259609,12.276698600508311,10.502144612846577,10.771312003521642,10.55562203972301,8.772111688915377,12.625650298084814,7.316125963842983,13.56562204183128,9.698032767619951,10.141457889164426,9.868772343802638,10.751135020427874,9.827021886512442,12.745385819004635,9.121708743362202,11.75000134740228,10.32582343112706,12.537145149308945,12.08845437427555,11.171246199996013,11.31747987396201,8.99090934215335,10.391864218886283,12.215987767228048,10.551527268919155,9.715173540839013,10.029432637113125,11.78972239100617,10.263897067900317,12.755750626573452,10.8063242121083,10.874210320207204,10.959639194702625,12.134997044484072,8.995227241693796,11.202303340845017,12.249517663518438,12.636694144771216,11.496987904845945,12.186097682526574,12.07396266848778,12.516325770770608,11.389880566505903,10.53557653370146,13.161125555036966,13.805987206059743,11.894153926541549,11.127681345166106,11.5208760693732,11.914840749146808,12.02492661081519,11.778314770745729,10.450933176190784,9.500568151243549,10.188627806428958,10.75597554162585,11.536771453867113,12.192395031474742,10.985854395306736,11.481777456212525,12.636426144006707,10.81295008561758,9.461301214346104,13.0909241721478
AGR2,12.235807766565165,11.925275029544425,0.265591077528179,10.173689917472212,9.60219635856622,10.71535599692082,7.666174911840543,6.567301521023769,7.855558602654028,9.219224260006175,4.1238285222784485,11.478449953560371,3.735746200919944,0.3953770757250451,11.80715805678144,2.656535854492636,10.090392971057367,11.272404286108191,3.8940241781175824,7.203619611411451,10.246154273291046,8.707170101830533,1.8347448461694973,8.578819614782562,9.251408954094977,10.680291315925944,9.282961463296587,10.402681927347192,10.911564682830264,11.145032153974276,11.277641543107707,8.41477908577425,10.30999323995394,9.65906847552905,12.807786852050652,10.943105201519217,8.512288902813395,10.881330418915304,10.76187050975201,10.55489838071655,8.832984904825398,10.703535149513549,9.29421271032856,9.941134578448754,8.987683757034947,12.107337342548592,2.790288651122025,1.296369598460399,10.626955342205164,10.456304587424466,8.712247296502515,12.070101188553172,9.384107522915818,12.504178208591286,9.739507133881215,12.090555122313503,10.793310373555402,9.70650551468013,11.328759407239264,10.661525666224463,10.43639347651721,2.900763814168968,8.68541666937655,10.217299086399544,2.312571546119527,6.22486807421013,10.743018599285778,6.306206398232335,4.220657548108289,10.045862644009084,9.72063464004084,10.997175950305175,11.16706081536118,9.01281394720944,11.417257964688469,10.101441177486784
KRT17,7.789697880548432,4.511859447557248,10.32661867176904,6.229504448533933,6.5785416922368825,7.118940824452525,4.460828501388874,6.248247208248784,8.819975980853592,7.621921103026285,7.961867530537744,0.9777209847310748,9.680444428094924,5.438530384538868,5.226667988393419,8.789905224044775,9.713558040793847,7.649733759825878,9.056256913995512,2.027805608643144,1.0062778608928715,7.281231799286401,8.818733669960285,7.966045205806847,4.040223337508137,3.705446277079029,5.938045510375137,6.540953920210173,4.642396380748116,0.7427445587106313,4.990027443912857,1.756965824504609,6.304945588231822,7.527538311518752,7.974130236989479,6.785754767835643,6.148318975035446,5.59999710344418,6.9880804527172575,5.613325349738472,3.4457324746791658,7.547005086677978,5.828803098926533,4.268786266250858,12.46378512623368,0.6284544988842459,5.277432760727645,10.607975438536291,3.842350566368222,8.416451598590658,5.941504062719428,1.8651543515925668,6.2282654635532095,1.3066979656116573,7.192375176630421,6.315621972906295,7.428122374562173,3.334465001226399,0.350500928627255,5.7495872777955865,8.05166282315029,9.7233338348073,9.376418284839822,9.290334040327204,12.314279809368903,8.314950493065536,5.277042951720742,2.6305209873031195,4.437884545420379,2.3533000734391094,7.49394354981252,5.059671706479454,8.590075838717638,6.551856587526141,3.5727127663445946,6.757270822012523
KRT6A,1.3944065914139974,2.166643950833094,9.266279762296609,1.1937403476923234,0.7478519434779602,2.8232268214224145,0.5551999515962384,1.7609641290764428,9.49101391823084,2.764390119050329,5.377256443898994,1.7635083116226593,7.342537316007986,2.0719971801503063,2.4139123546780743,7.05099345727476,2.3164392574466053,6.866172458899708,4.508335967189092,1.052867955981491,2.7534087440207164,2.67262812940162,6.257793654932733,2.5720704435866484,1.5319291245620883,0.546806976580623,1.830649844720793,1.6289129106428957,2.77162069509986,1.025130024324415,3.1956429412020086,0.1633918541440281,1.9876771900414176,1.974367587706224,2.0885791746956697,2.64592951244495,1.1607731670432142,0.8927016619272053,1.3247369711527242,1.4619734328909602,4.177683949740462,2.224958462333174,1.6788525262984948,2.1342750739384164,3.582273720441655,0.6449213385049111,1.9085093036358365,3.3988806129770563,1.23545605376188,1.915532436053043,2.3072197518558077,0.3072653199138572,1.6851526226883762,1.0686265789955691,4.6349261333854175,1.4980353449608617,1.813610988096608,2.2221218418417226,2.1011734571967837,2.004703680761558,2.464749684591333,7.947328861710853,2.1928679508972317,1.6917868895398926,6.623429667735354,3.724872900548825,0.8320756523731513,3.04263598564998,0.4797603343551699,0.2105975963994617,1.7339733900731813,1.298680536814603,1.4878536561675857,1.2179472065858936,2.196510962445957,2.5296923463211627
RPS4Y1,0.2999553089958082,0.1386372802515897,0.1027734796175482,0.06879398359351,0.1857833632642584,1.031389123020076,0.2324390026053104,0.4572301369871773,0.2014260493154299,0.1048284320174519,0.1258992811822904,0.4082851898984709,0.3188269024596579,0.0,0.1134734179399779,0.6276482785794869,0.0,2.412795951170508,0.0994219897874019,0.0,0.0,0.0,0.1146885176726332,0.192472138810515,0.0645033509893036,0.3359807509803891,0.0,0.0,0.1575144012446636,0.1168935670564971,1.4683789800698788,0.2188013633047883,0.1982325899761526,0.0,0.0618071594173156,0.4678433068344544,0.2182490440353727,0.1969052313648441,0.2636381827077425,0.0,0.4350871604877384,0.0,0.0,0.0943558944820791,0.0979062105914331,9.328172097190048,0.0,0.0,0.0,0.3851185432240522,0.0678524693754898,0.2011438602497899,0.2395866712802462,10.516330205124166,0.3159735808272895,0.2382809146356133,0.0,0.2201000801665326,0.0844995023362663,0.0,0.3377829845298484,1.5719428079322677,0.2108446662658637,0.1105493553673754,0.0,0.0734659962592887,0.1023038145258578,0.11046501746612,0.1631467602620855,0.2805261319774547,0.1196246204131541,0.1899792492017115,0.0852276197959297,0.0832197839215314,0.2197208604806957,0.066840953130709
KRT14,7.520867464271162,5.650180720655387,11.611890314277405,6.0371462216804055,6.088038238791342,6.731535187209464,4.055177420200329,6.051470891254764,6.494022197377642,7.480958126353909,5.742060724351231,1.078586202758553,5.575941613603906,4.225953454255639,4.557367775682423,6.344984126593786,9.50570240305939,5.935318161126588,10.750130966969376,0.1747231721420463,0.2639861241488657,5.575563150487573,6.697025472793367,8.375515339609596,4.468216547556235,3.4603658804339634,4.923350293105914,5.942635940015379,3.257039919750222,0.4543791434445961,6.099579687554344,0.7810066268461489,6.022392426699667,8.37921814541467,7.435089417740219,6.19415555735154,6.658126970912477,5.24143405199622,5.827591815791468,6.214495816596783,3.294748289275162,7.062172357449104,5.611041253976135,3.576780449262177,12.646822707084503,0.1043787591980027,9.10200810949617,6.411358393152872,3.161463743640188,8.414886417422544,3.1443218075150514,0.2526595189862109,6.649933690923952,0.255016570875607,6.816284301507873,6.659844218223004,6.615885956595048,2.872948585340497,0.261152899927157,5.005631655252078,7.289430467787602,8.666452158488024,7.968489953311819,9.339290007797205,9.145860842352958,9.59651254670646,5.147689730236079,2.15983581714392,4.993360364103699,3.320631010781569,7.651954450325851,4.550333378899082,8.728542756967135,7.533008155483588,0.2665712363455585,6.613277273877517
WFDC2,11.151016828756216,4.93792699735652,6.385654107933646,8.884492341699083,10.36636399243288,3.872810895044657,8.383391093450316,4.204288924902183,7.806163421847128,4.63045260863154,9.544377655545643,9.231216810043394,7.314606543325297,2.326404820778536,6.926074016955691,4.269298210379395,9.255350131549257,10.492177225800097,6.888453519514704,6.942150564804887,5.422372458142596,8.47597066924472,6.2897398047712105,10.797486502065263,6.723006166559167,4.455874756531983,10.661477966268745,8.044866980548772,8.167996808707608,8.67907329623357,1.326522295122884,9.714280967360963,8.532491993854025,4.427504953657104,9.425201038744758,9.44888784493059,6.842975208132395,4.844666520331985,4.643317588448917,9.72442280204216,9.614406324342774,11.51220895989107,6.383190903966287,5.91891872680972,8.735813741797246,7.999337629543065,2.967957815128154,7.303848314478324,8.7454608936259,10.47934680686542,4.219491761864405,6.869659861466491,5.955450254175768,7.424817485040297,8.346943981483658,11.25726185698739,7.659972197598108,1.1212770368219118,1.165260937835816,9.605187201009532,9.6696652699566,9.65090430500844,7.966617893133223,7.69729555172199,3.4783089258464286,6.590621340836957,10.210182671964226,1.2167241515655114,6.287819677943517,9.876061316321888,8.18647998317096,10.79412544737094,10.133172813537067,8.145788506312586,4.859309280370773,7.896826681898393
CEACAM5,1.5361878885381492,4.676901232696422,1.761994253253068,3.2114604138992187,2.263362694919107,0.4342119836292503,3.5049460687139025,2.157395456392696,1.34660375761706,0.7450544194561143,0.2409461954601542,1.5716299431092706,0.2890581736711779,0.4114419270993674,8.447771659401585,3.796009741287771,0.3109745221941768,5.815823254516895,0.4762104002934018,6.266565465081466,8.800128637601478,0.8373739900053488,0.0582925594166487,6.702038988883295,0.1408284552430601,7.774451044773241,2.560926225992832,3.968834335406613,9.904388870173111,3.334072910603501,6.2657907000639534,0.6330766993366396,2.0805287466444597,6.691900358374649,7.793570951791648,3.597761760282923,2.6499992579436,4.921038081833165,4.261898693988778,3.1031978119328985,2.8475572017953668,3.9196043669578535,2.8665685340852813,11.027150434790094,0.6251621747922053,5.736448648571423,0.1249738012990748,0.0,4.655814293136145,0.5621618156989371,4.837791466988951,2.122670242609054,8.270420036367902,2.8644260121946807,0.792527057190845,5.719256801905975,2.8938279863186764,0.15436569519207,2.586137178928172,4.204508949905624,1.100144182246705,0.1730717359018613,4.044492337582359,0.2001601567167925,0.2022255255146436,0.6651735017422661,8.695746653357025,2.2945654369761828,0.5335422909784588,0.5138389855825489,1.9979057658370671,4.544689104444321,4.281953983833125,4.692446562321813,10.87338437574538,5.944915702163279
SPINK1,0.5558881016990063,0.4960232551726048,0.3789180291183113,0.0,0.7645658491285109,0.7110964569757073,1.9866689637569817,2.3167469664363023,1.6477086480095362,2.4851419919826694,0.2454676884867775,2.3196312536619765,2.042249400537103,0.4344448593187695,1.8730586900271844,0.719577291580096,1.2909489881314444,1.29049393417063,1.9643244339652264,1.417746002954609,1.6371536434107248,0.5141855638032665,0.0,2.4969009374067985,0.8024333970435674,1.0473847524870017,0.6597532252651652,0.0,0.1086478355975453,0.4258147716264092,3.299766507103909,0.7365665420431196,0.3780608554344603,0.8408957421561495,2.0413053782052377,2.5045330384396105,1.6340881918736512,0.1363873296126824,0.7771084747855329,0.5670003468425603,0.5629677484282588,0.0,0.4072793335093089,0.8677838884868039,3.321650903145471,0.5033706188605059,2.9351000277663557,0.2454563268295003,0.5997299743637621,0.6980772929868151,2.17828318333913,4.822029438688135,1.0075521204312627,0.5638273148027054,4.960274689058674,0.2420115170533158,0.905610374818512,0.9425298498443966,0.166961370903903,1.4966963962738555,0.1470719884583546,2.325733717704028,0.2790423492422633,0.2165943679892016,4.14612015522886,1.9519694990608636,0.377339650471133,1.388790095561057,0.0,0.3356498135457202,0.2336976821269614,1.0354130808866686,0.168359769254761,1.2194445879646858,3.579969795028037,0.1328456127993301
